Número de secuencia;Tipo de distinción;Órgano competente;Apellidos y nombre / Institución;Profesión / Actividad;Fecha de concesión;Fecha de entrega
1483;Visitante Ilustre de la Villa de Madrid;Junta de Gobierno;Brown, Curtis L. ;Astronauta;08/01/1999;
1484;Visitante Ilustre de la Villa de Madrid;Junta de Gobierno;Lindsey, Steven L. ;Astronauta;08/01/1999;
1485;Visitante Ilustre de la Villa de Madrid;Junta de Gobierno;Robinson, Stephen D. ;Astronauta;08/01/1999;
1486;Visitante Ilustre de la Villa de Madrid;Junta de Gobierno;Parazynski, Scott E. ;Astronauta;08/01/1999;
1487;Visitante Ilustre de la Villa de Madrid;Junta de Gobierno;Glenn, John;Astronauta;08/01/1999;
1488;Visitante Ilustre de la Villa de Madrid;Junta de Gobierno;Mukai, Chiaki ;Astronauta;08/01/1999;
1489;Visitante Ilustre de la Villa de Madrid;Junta de Gobierno;Sergeevich Ivanov, Igor ;;22/10/1999;
1490;Visitante Ilustre de la Villa de Madrid;Junta de Gobierno;Azeglio Ciampi, Carlo ;;26/11/1999;
1491;Visitante Ilustre de la Villa de Madrid;Junta de Gobierno;Sofianski, Stefan ;;03/12/1999;
1492;Visitante Ilustre de la Villa de Madrid;Junta de Gobierno;Rodríguez Echeverría, Miguel Ángel ;;21/01/2000;
1493;Visitante Ilustre de la Villa de Madrid;Junta de Gobierno;Flores, Francisco ;;03/11/2000;
1494;Visitante Ilustre de la Villa de Madrid;Junta de Gobierno;Príncipe Salman Ben Abdulaziz;;22/06/2001;
1495;Visitante Ilustre de la Villa de Madrid;Junta de Gobierno;Demszky, Gabor ;;01/02/2002;
1496;Visitante Ilustre de la Villa de Madrid;Junta de Gobierno;Penelas, Alex ;;28/02/2002;
1497;Visitante Ilustre de la Villa de Madrid;Junta de Gobierno;Goh Chok Tong;;12/04/2002;
1498;Visitante Ilustre de la Villa de Madrid;Junta de Gobierno;Gundars Bojars;;15/11/2002;
1499;Visitante Ilustre de la Villa de Madrid;Junta de Gobierno;Sánchez de Lozada, Gonzalo;;11/04/2003;
1500;Visitante Ilustre de la Villa de Madrid;Junta de Gobierno;Batlle Ibáñez, Jorge ;;22/01/2004;
1501;Visitante Ilustre de la Villa de Madrid;Junta de Gobierno;Chávez Frías, Hugo Rafael ;Político y militar;23/11/2004;
1502;Visitante Ilustre de la Villa de Madrid;Junta de Gobierno;Wade, Abdoulaye ;;23/11/2004;
1503;Visitante Ilustre de la Villa de Madrid;Junta de Gobierno;Ebrard Casaubón, Marcelo Luis;;26/10/2010;
